Cleric,1,3,10,13,14,16,15
Cleric,4,6,9,12,13,15,14
Cleric,7,9,7,10,11,13,12
Cleric,10,12,6,9,10,12,11
Cleric,13,15,5,8,9,11,10
Cleric,16,18,4,7,8,10,9
Cleric,19,-1,2,5,6,8,7
Fighter,0,0,16,17,18,20,19
Fighter,1,2,14,15,16,17,17
Fighter,3,4,13,14,15,16,16
Fighter,5,6,11,12,13,13,14
Fighter,7,8,10,11,12,12,13
Fighter,9,10,8,9,10,9,11
Fighter,11,12,7,8,9,8,10
Fighter,13,14,5,6,7,5,8
Fighter,15,16,4,5,6,4,7
Fighter,17,-1,3,4,5,4,6
MagicUser,1,5,14,13,11,15,12
MagicUser,6,10,13,11,9,13,10
MagicUser,11,15,11,9,7,11,8
MagicUser,16,20,10,7,5,9,6
MagicUser,21,-1,8,5,3,7,4
Thief,1,4,13,12,14,16,15
Thief,5,8,12,11,12,15,13
Thief,9,12,11,10,10,14,11
Thief,13,16,10,9,8,13,9
Thief,17,20,9,8,6,12,7
Thief,21,-1,8,7,4,11,5
